epoch,accuracy,loss,val_accuracy,val_loss
0,0.6170732,0.11571885336463045,0.776699,0.10441326509112293
1,0.6170732,0.11333356070809247,0.776699,0.09640410773962446
2,0.6170732,0.1141155827336195,0.776699,0.0935383057854708
3,0.6170732,0.11407251892293371,0.776699,0.09336596553765454
4,0.6170732,0.11407316439762348,0.776699,0.09346187317255632
5,0.6170732,0.11398038958630911,0.776699,0.09381229936787226
6,0.6170732,0.11386719673145108,0.776699,0.0938495621085167
7,0.6170732,0.1134722690756728,0.776699,0.09371879233897311
8,0.6170732,0.1139557957649231,0.776699,0.09378478090161259
9,0.6170732,0.11348198354244232,0.776699,0.09404489361834757
10,0.6170732,0.11375342182269911,0.776699,0.09383671086968727
11,0.6170732,0.11412907391786575,0.776699,0.0932537240600123
12,0.6170732,0.11295298087160761,0.776699,0.09311874818454668
13,0.6170732,0.11234821797144122,0.776699,0.09309491855137557
14,0.6170732,0.1126262202132039,0.776699,0.09273106192500846
15,0.6170732,0.11186827283080031,0.776699,0.0921336579525355
16,0.6170732,0.11084435916528469,0.776699,0.09173607573057842
17,0.6170732,0.1112183334260452,0.776699,0.09123818909080283
18,0.6170732,0.10999423901482326,0.776699,0.0903409787462753
19,0.6170732,0.10833708106017695,0.776699,0.08924681736716947
20,0.6170732,0.108396564678448,0.776699,0.08765309810349085
21,0.6170732,0.10690486049506723,0.776699,0.08602134745965884
22,0.6170732,0.10470014556152064,0.776699,0.08388423984779896
23,0.6170732,0.10075541367618049,0.776699,0.0809343086863027
24,0.6170732,0.09680199277837102,0.776699,0.07665484724114242
25,0.6170732,0.09263052028126834,0.776699,0.07103311378978988
26,0.6292683,0.08567287845582497,0.776699,0.06381940957411979
27,0.6658537,0.07729436784255796,0.776699,0.05441759407375623
28,0.7292683,0.0675436894341213,0.93203884,0.04456162506949554
29,0.82682925,0.05757052851159398,1.0,0.035020553588288504
30,0.902439,0.04860994624110257,1.0,0.02595338722672856
31,0.92195123,0.04064527644616801,1.0,0.01907736518718664
32,0.9317073,0.03508138547583324,1.0,0.014512169735451925
33,0.9609756,0.02729744938906373,1.0,0.011094727906063922
34,0.94390243,0.026136938959541844,1.0,0.009105837659783733
35,0.9487805,0.023743109663993848,1.0,0.00792285461358509
36,0.94634145,0.024164631485757305,1.0,0.006774249079736691
37,0.95853657,0.0205295688200106,1.0,0.005522682770037824
38,0.9487805,0.021214451072964727,1.0,0.004862857421914351
39,0.9609756,0.018395530264370324,1.0,0.004357197615815309
40,0.96585363,0.017989992981822026,1.0,0.004027021553783307
41,0.9609756,0.01757946636573207,1.0,0.003884992286454416
42,0.95853657,0.018152566104218726,1.0,0.0036571730873140606
43,0.96829265,0.01658216267597021,1.0,0.0034259285199121363
44,0.9634146,0.015246137085075422,1.0,0.003240824955090591
45,0.9536585,0.017954053624146957,1.0,0.0034332197629711003
46,0.96585363,0.015307622479002287,1.0,0.002973018528314904
47,0.96585363,0.014481297688467837,1.0,0.003038179251428657
48,0.96585363,0.015265039185334632,1.0,0.003060698937579483
49,0.9756098,0.014181261689106866,1.0,0.0029347138987962625
50,0.96829265,0.014849904521436589,1.0,0.0025624488502994035
51,0.95853657,0.016846946253236836,1.0,0.0026807566795009866
52,0.9634146,0.015090186813301066,1.0,0.0027272547007475083
53,0.96585363,0.015865032492977816,1.0,0.002791122730043762
54,0.9609756,0.015367901804516228,1.0,0.002837264350303494
55,0.97073174,0.012557188577086823,1.0,0.0023752304892625336
56,0.97317076,0.013632940088694052,1.0,0.0021632932933517597
57,0.9609756,0.014980984976651466,1.0,0.002044341021705672
58,0.9609756,0.013241977882344366,1.0,0.0022777738038323894
59,0.96829265,0.014853613973572486,1.0,0.0022295831563629354
60,0.97073174,0.013165046818690693,1.0,0.001921312735999202
61,0.95853657,0.01563884225026591,1.0,0.002163671789514534
62,0.97073174,0.013517419194302908,1.0,0.002224617585702573
63,0.96829265,0.012576744289750733,1.0,0.0022858020084349493
64,0.97073174,0.013591760911456332,0.99029124,0.0025936458129842666
65,0.97073174,0.012539847989612055,1.0,0.0020726796435147016
66,0.97073174,0.01250291722485932,1.0,0.0018065078613502018
67,0.96585363,0.013781269144823366,1.0,0.0020660830552020623
68,0.96829265,0.012565043164280856,1.0,0.0018444665926915494
69,0.9756098,0.012103892939460532,1.0,0.0016639734374232662
70,0.96585363,0.013935606458178925,1.0,0.0016543250457492196
71,0.97317076,0.012654309880794821,1.0,0.00153971872025721
72,0.9609756,0.015172272389641077,1.0,0.0018194898600165633
73,0.97073174,0.013784802121269266,1.0,0.00206765262590884
74,0.97317076,0.0123961310444695,1.0,0.0020470500282843787
75,0.96829265,0.013049877643380768,1.0,0.002121435489632117
76,0.96585363,0.012356538500171155,0.99029124,0.002517865251046741
77,0.9756098,0.011670766166899717,0.99029124,0.0024372016684970485
78,0.97073174,0.013202082861226233,0.99029124,0.0023761458649159887
